,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
48,FMNL2,Q96PY5,P12236,38891874,SLC25A6,0.685338735580444,0.803763270378112,0.561028659343719,0.5380701422691341,0.1455543935298919
49,FMNL2,Q96PY5,P18124,38891874,RPL7,0.685338735580444,0.803763270378112,0.473450899124145,0.732934534549713,0.2829323709011078
50,FMNL2,Q96PY5,P62736,38891874,ACTA2,0.685338735580444,0.803763270378112,0.474418699741363,0.585259795188903,0.2869009375572204
51,FMNL2,Q96PY5,P20073,38891874,ANXA7,0.685338735580444,0.803763270378112,0.860009491443634,0.784795045852661,0.2501231729984283
52,FMNL2,Q96PY5,Q02952,38891874,AKAP12,0.685338735580444,0.803763270378112,0.908454895019531,0.9288336038589472,0.3007116317749023
53,FMNL2,Q96PY5,O95373,38891874,IPO7,0.685338735580444,0.803763270378112,0.052493594586849,0.078765615820884,0.3559045493602752
54,FMNL2,Q96PY5,P50914,38891874,RPL14,0.685338735580444,0.803763270378112,0.060722433030605,0.307815492153167,0.2660569548606872
55,FMNL2,Q96PY5,P35579,38891874,MYH9,0.685338735580444,0.803763270378112,0.749034285545349,0.8638456463813781,0.4126904606819153
56,FMNL2,Q96PY5,P53396,38891874,ACLY,0.685338735580444,0.803763270378112,0.528128921985626,0.7460007667541501,0.1512999087572097
57,FMNL2,Q96PY5,Q6IBS0,38891874,TWF2,0.685338735580444,0.803763270378112,0.052236814051866,0.228122800588607,0.2078314572572708
58,FMNL2,Q96PY5,Q9UDX5,38891874,MTFP1,0.685338735580444,0.803763270378112,0.11139503866434,0.162976950407028,0.1144397258758544
59,FMNL2,Q96PY5,O00154,38891874,ACOT7,0.685338735580444,0.803763270378112,0.070115938782691,0.097716331481933,0.3707361817359924
60,FMNL2,Q96PY5,P06733,38891874,ENO1,0.685338735580444,0.803763270378112,0.605673968791961,0.794546842575073,0.2504586279392242
61,FMNL2,Q96PY5,P58546,38891874,MTPN,0.685338735580444,0.803763270378112,0.068208754062652,0.284042686223983,0.2925529181957245
62,FMNL2,Q96PY5,P35268,38891874,RPL22,0.685338735580444,0.803763270378112,0.7265936136245721,0.8093632459640501,0.2951299250125885
63,FMNL2,Q96PY5,P25789,38891874,PSMA4,0.685338735580444,0.803763270378112,0.8669969439506531,0.7802849411964411,0.2454537600278854
64,FMNL2,Q96PY5,P42677,38891874,RPS27,0.685338735580444,0.803763270378112,0.217304110527038,0.358985066413879,0.2412611693143844
65,FMNL2,Q96PY5,Q13464,38891874,ROCK1,0.685338735580444,0.803763270378112,0.640227198600769,0.826185524463653,0.32679483294487
66,FMNL2,Q96PY5,Q6IA69,38891874,NADSYN1,0.685338735580444,0.803763270378112,0.050249140709638,0.068998262286186,0.3449330925941467
67,FMNL2,Q96PY5,Q02539,38891874,H1-1,0.685338735580444,0.803763270378112,0.8457039594650261,0.914579391479492,0.3512813746929168
68,FMNL2,Q96PY5,P20339,38891874,RAB5A,0.685338735580444,0.803763270378112,0.196048945188522,0.307666271924972,0.2884121537208557
69,FMNL2,Q96PY5,Q96T76,38891874,MMS19,0.685338735580444,0.803763270378112,0.052146952599287,0.04158042371273,0.3280220627784729
70,FMNL2,Q96PY5,Q8N1G2,38891874,CMTR1,0.685338735580444,0.803763270378112,0.471973896026611,0.8571395874023431,0.3260553479194641
