A,B
Q9HB07,Q96DZ9
Q9HB07,Q15041
Q9HB07,O95070
Q9HB07,Q6RW13
Q9HB07,P62993
Q9HB07,Q8TAE8
Q9HB07,Q6ZPD8
Q9HB07,Q9NZC7
Q9HB07,Q9H1A3
Q9HB07,Q8NBD8
Q9HB07,Q8WV19
Q9HB07,P28702
Q9HB07,Q9H008
Q9HB07,Q96EY8
Q9HB07,Q5QP82
Q9HB07,P07902
Q9HB07,Q7Z3S9
Q9HB07,P0DPK4
Q9HB07,Q9NQW7
Q9HB07,Q9H2P9
Q9HB07,P11142
Q9HB07,O95433
Q9HB07,Q9UHD9
Q9HB07,Q9BQ52
Q9HB07,Q6NVY1
Q9HB07,Q9UMX0
Q9HB07,Q9NVM6
P12314,O43736
P12314,Q13323
P12314,Q9UEU0
P12314,O00526
P12314,Q5TGU0
P12314,Q92982
P12314,P07306
P12314,Q13021
P12314,Q8IZ57
P12314,O95393
P12314,Q8N6F1
P12314,Q8N5M9
P12314,Q9BXN2
P12314,Q9NS64
P12314,Q86VB7
P12314,Q15848
P12314,Q6UX27
P12314,Q92520
P12314,Q8TAF8
P12314,Q5SZK8
P12314,O60245
P12314,Q9UKU7
P12314,Q5VT25
P12314,P19823
P12314,Q9NPG4
P12314,P69905
P12314,O14917
Q96BA8,Q13183
Q96BA8,Q9Y2E5
Q96BA8,Q9NRZ5
Q96BA8,Q9HBM0
Q96BA8,Q9NUM3
Q96BA8,P11169
Q96BA8,P10619
Q96BA8,P02786
Q96BA8,Q14162
Q96BA8,O15400
Q96BA8,Q9NQQ7
Q96BA8,Q99735
Q96BA8,Q14802
Q96BA8,Q9UGM5
Q96BA8,P21964
Q96BA8,Q9NTN9
Q96BA8,Q9Y6G1
Q96BA8,O00767
Q96BA8,Q7Z2K6
Q96BA8,Q9P0N8
Q96BA8,Q9NZ01
Q96BA8,P30536
Q96BA8,O43759
Q96BA8,Q14508
Q96BA8,Q04941
Q96BA8,Q96MV8
Q96BA8,Q6UX06
Q96BA8,Q7L5A8
Q96BA8,Q14534
Q96BA8,O95214
Q96BA8,Q96GM1
Q96BA8,Q9BVK8
Q96BA8,O15155
Q96BA8,O14653
Q96BA8,Q01453
Q96BA8,Q9H1C4
Q96BA8,Q9Y3E0
Q96BA8,Q9P0S9
Q96BA8,Q5TGU0
Q96BA8,Q9NPL8
Q96BA8,O14569
Q96BA8,Q01638
Q96BA8,Q9Y5Z9
Q96BA8,P78383
Q96BA8,Q96IW7
Q96BA8,Q9Y5Y5
Q96BA8,Q53FV1
Q96BA8,P60201
Q96BA8,Q9Y5U4
Q96BA8,Q9H115
Q96BA8,Q9UHX3
Q96BA8,Q9P0S3
Q96BA8,Q9NWW5
Q96BA8,Q16853
Q96BA8,Q92982
Q96BA8,P60059
Q96BA8,Q9NWF4
Q96BA8,Q9UKR5
Q96BA8,O60636
Q96BA8,Q9BXR6
Q96BA8,O00180
Q96BA8,Q8IY49
Q96BA8,P21854
Q96BA8,Q9NUH8
Q96BA8,Q9H0Q3
Q96BA8,P23763
Q96BA8,Q96HH6
Q96BA8,P30825
Q96BA8,P55061
Q96BA8,Q96GQ5
Q96BA8,Q96MX0
Q96BA8,P07306
Q96BA8,P56557
Q96BA8,P54852
Q96BA8,P19397
Q96BA8,O14880
Q96BA8,Q96PS8
Q96BA8,Q9UHE5
Q96BA8,Q8TD22
Q96BA8,Q13021
Q96BA8,Q8TEB9
Q96BA8,Q15125
Q96BA8,Q969L2
Q96BA8,Q9UHJ9
Q96BA8,Q9BZ11
Q96BA8,A2RU14
Q96BA8,Q8N2M4
Q96BA8,Q08629
Q96BA8,Q96FZ5
Q96BA8,Q9NUQ2
Q96BA8,P11836
Q96BA8,Q8TB61
Q96BA8,Q8WWT9
Q96BA8,Q9BVK2
Q96BA8,Q9NRZ7
Q96BA8,Q96CP7
Q96BA8,Q6TCH4
Q96BA8,Q9H2A7
Q96BA8,O95159
Q96BA8,O95393
Q96BA8,Q96AA3
Q96BA8,Q9Y6I9
Q96BA8,Q8WVX3
Q96BA8,Q8IWU4
Q96BA8,Q9NP94
Q96BA8,Q9NRQ5
Q96BA8,Q9H5X1
Q96BA8,Q13277
Q96BA8,Q9BQB6
Q96BA8,P41181
Q96BA8,O75355
Q96BA8,O95968
Q96BA8,Q9BTX3
Q96BA8,P42857
Q96BA8,P43378
Q96BA8,Q8N6G5
Q96BA8,P11215
Q96BA8,O60883
Q96BA8,O00155
Q96BA8,Q96IV6
Q96BA8,Q9UNK0
Q96BA8,Q96F05
Q96BA8,Q9UBY5
Q96BA8,P25067
Q96BA8,Q9NZG7
Q96BA8,P21145
Q96BA8,Q8TDV0
Q96BA8,Q9H2C2
Q96BA8,O14798
Q96BA8,Q7RTY0
Q96BA8,Q8N609
Q96BA8,Q6PI25
Q96BA8,Q8NH19
Q96BA8,Q9UPQ8
Q96BA8,L0R6Q1
Q96BA8,Q96G79
Q96BA8,Q12983
Q96BA8,Q8N966
Q96BA8,P17152
Q96BA8,Q15848
Q96BA8,Q8NEW7
Q96BA8,Q96EC8
Q96BA8,Q6N075
Q96BA8,Q5GAN6
Q96BA8,Q6PL45
Q96BA8,P01350
Q96BA8,Q86W74
Q96BA8,P78329
Q96BA8,Q9H0R3
Q96BA8,Q02161
Q96BA8,Q969S6
Q96BA8,A0PK00
Q96BA8,P05090
Q96BA8,Q96F15
Q96BA8,Q8TAF8
Q96BA8,Q8NBD8
Q96BA8,Q8WW34
Q96BA8,Q5RI15
Q96BA8,Q5VZY2
Q96BA8,Q99519
Q96BA8,Q5J8X5
Q96BA8,Q969S0
Q96BA8,Q4LDR2
Q96BA8,Q8IY26
Q96BA8,Q6Y1H2
Q96BA8,Q9NTJ5
Q96BA8,Q8WWP7
Q96BA8,Q16873
Q96BA8,P57105
Q96BA8,P63027
Q96BA8,P01375
Q96BA8,B2RUZ4
Q96BA8,O43451
Q96BA8,O14925
Q96BA8,O75396
Q96BA8,Q8NHW4
Q96BA8,Q70SY1
Q96BA8,Q9Y4A5
Q96BA8,Q6BDS2
Q96BA8,O00203
Q96BA8,Q9UPT9
Q96BA8,Q969H0
Q9BSE2,P15151
Q9BSE2,O75208
Q9BSE2,P00387
Q9BSE2,Q5BJF2
Q9BSE2,Q9NZD1
Q9BSE2,Q9P0S9
Q9BSE2,O76064
Q9BSE2,Q96IW7
Q9BSE2,Q8TBM7
Q9BSE2,Q9HAT8
Q9BSE2,Q9Y6I9
Q9BSE2,Q7Z7G2
Q9BSE2,P11686
Q9BSE2,Q3SXY8
Q9BSE2,Q9UBY5
Q9BSE2,Q9BXN2
Q9BSE2,Q8TBE3
