uniprot_entry	source
Q9BRT2	deepphase
P04406	deepphase
Q6AZW8	deepphase
Q96DU7	deepphase
O15169	deepphase
Q13304	deepphase
O60832	deepphase
Q5HYC2	deepphase
Q13976	deepphase
Q5T9G4	deepphase
Q14978	deepphase
Q15050	deepphase
Q8NAV2	deepphase
Q8IVL0	deepphase
Q13895	deepphase
Q07890	deepphase
Q13601	deepphase
Q9UNK0	deepphase
Q8IY26	deepphase
O75420	deepphase
Q9HD20	deepphase
Q02045	deepphase
Q5VU65	deepphase
Q16560	deepphase
O14746	deepphase
Q9P275	deepphase
Q9UGM6	deepphase
Q8IY34	deepphase
O95340	deepphase
Q7Z6J0	deepphase
O60829	deepphase
Q09666	deepphase
Q14116	deepphase
Q9P2H5	deepphase
P36639	deepphase
P57082	deepphase
Q49AJ0	deepphase
Q68DU8	deepphase
P01275	deepphase
Q96NY9	deepphase
Q13247	deepphase
Q6T4P5	deepphase
Q8IV63	deepphase
Q9UGH3	deepphase
O43847	deepphase
Q8TE12	deepphase
Q9H9P8	deepphase
O60264	deepphase
Q8WWM9	deepphase
Q9NZI5	deepphase
P61106	deepphase
Q86WK6	deepphase
Q8NEM2	deepphase
O75554	deepphase
Q9NXC5	deepphase
P06748	deepphase
Q16799	deepphase
Q9H7E9	deepphase
P27338	deepphase
Q9UKD2	deepphase
Q8WYK2	deepphase
Q6P3X3	deepphase
Q96CB8	deepphase
Q8TAP9	deepphase
Q96GP6	deepphase
Q8TF39	deepphase
Q9Y2R2	deepphase
P57772	deepphase
Q6NUJ5	deepphase
Q8NA19	deepphase
Q969E8	deepphase
Q9UK12	deepphase
Q6UX65	deepphase
O60462	deepphase
Q96FV9	deepphase
Q9Y376	deepphase
P42696	deepphase
Q9NRN9	deepphase
Q7Z4H7	deepphase
Q1ED39	deepphase
P0DMV2	deepphase
Q6TDP4	deepphase
Q8NEZ3	deepphase
Q8NB42	deepphase
Q9Y2R4	deepphase
Q8IZ57	deepphase
P05937	deepphase
O75414	deepphase
P18433	deepphase
P48556	deepphase
Q9NX58	deepphase
P08236	deepphase
Q7Z572	deepphase
Q6N063	deepphase
Q9P2C4	deepphase
P32298	deepphase
O00329	deepphase
Q96NZ9	deepphase
O75191	deepphase
Q99542	deepphase
Q15744	deepphase
Q86VI1	deepphase
Q9Y3Y2	deepphase
Q9BYJ4	deepphase
Q9BXS6	deepphase
Q9P2I0	deepphase
O15381	deepphase
P24530	deepphase
Q13107	deepphase
Q96PZ2	deepphase
Q15012	deepphase
P55289	deepphase
Q8N7N1	deepphase
Q9Y6Q5	deepphase
Q99575	deepphase
Q9BSL1	deepphase
A6NJ69	deepphase
O14981	deepphase
Q8NBN3	deepphase
Q9Y6Y8	deepphase
Q9BRB3	deepphase
Q5VUD6	deepphase
P19878	deepphase
P20036	deepphase
P10415	deepphase
P54652	deepphase
Q8NHS4	deepphase
Q9H8M9	deepphase
Q14693	deepphase
Q9H7F0	deepphase
Q9NT68	deepphase
P08397	deepphase
Q8IWB6	deepphase
P83110	deepphase
Q8WV19	deepphase
Q5H8A4	deepphase
P32249	deepphase
Q0VDG4	deepphase
O60240	deepphase
Q9UKP4	deepphase
Q9Y2H9	deepphase
Q9H9A6	deepphase
Q5VT97	deepphase
Q9HBW1	deepphase
O43298	deepphase
P78332	deepphase
Q6ZMI0	deepphase
P53992	deepphase
Q8IUH5	deepphase
Q6H3X3	deepphase
P49368	deepphase
O75844	deepphase
Q9H2V7	deepphase
O75376	deepphase
Q8IVF6	deepphase
Q9H2J7	deepphase
O75387	deepphase
P01344	deepphase
O43741	deepphase
Q9UHA3	deepphase
Q6P1J9	deepphase
Q9BT76	deepphase
Q92841	deepphase
O43808	deepphase
Q8NHU0	deepphase
Q9BYI3	deepphase
Q16288	deepphase
Q9HD26	deepphase
Q9Y6Q3	deepphase
Q15545	deepphase
P46100	deepphase
Q9UBD9	deepphase
O43809	deepphase
Q99259	deepphase
Q9BRL6	deepphase
Q4VC05	deepphase
O76021	deepphase
Q5R3F8	deepphase
Q86W34	deepphase
Q9H6X2	deepphase
P0DMV0	deepphase
Q8N8Q9	deepphase
Q9BYC5	deepphase
Q9HD34	deepphase
Q01543	deepphase
Q5I0X4	deepphase
Q8TCT0	deepphase
Q96LD8	deepphase
O75164	deepphase
P11388	deepphase
Q9UHB7	deepphase
Q96F86	deepphase
Q9NYT0	deepphase
Q96JN2	deepphase
Q15269	deepphase
Q9Y2Q3	deepphase
Q9Y577	deepphase
P78543	deepphase
Q8TE82	deepphase
O75907	deepphase
Q5T6C5	deepphase
Q8IZ63	deepphase
Q9Y679	deepphase
P61758	deepphase
Q96NW4	deepphase
Q96EL3	deepphase
P07602	deepphase
Q16537	deepphase
Q9Y228	deepphase
Q96IZ2	deepphase
P36915	deepphase
Q9Y5X2	deepphase
P09601	deepphase
P13866	deepphase
Q9ULX6	deepphase
P19429	deepphase
P32754	deepphase
P46020	deepphase
Q8IVF7	deepphase
Q8N187	deepphase
Q9H1B5	deepphase
A6NDS4	deepphase
Q8IZ40	deepphase
P19652	deepphase
Q9BXB5	deepphase
Q9HAU4	deepphase
Q9HD45	deepphase
Q13867	deepphase
Q93050	deepphase
Q6R2W3	deepphase
Q5T4I8	deepphase
Q13772	deepphase
Q9NYB9	deepphase
Q16206	deepphase
Q8IYS4	deepphase
Q6UWZ7	deepphase
P32242	deepphase
Q9HAV5	deepphase
Q3MJ13	deepphase
Q5K651	deepphase
Q9UBU7	deepphase
P80723	deepphase
P51812	deepphase
Q13131	deepphase
P31645	deepphase
Q14088	deepphase
Q96GE6	deepphase
Q86YL5	deepphase
Q15393	deepphase
Q4KWH8	deepphase
Q8IZ52	deepphase
Q8N6D2	deepphase
Q6ZVF9	deepphase
O14669	deepphase
P35658	deepphase
Q9BWU1	deepphase
Q16666	deepphase
Q9Y4I5	deepphase
P22670	deepphase
Q96J01	deepphase
Q13123	deepphase
P02647	deepphase
Q01831	deepphase
Q6BEB4	deepphase
O94979	deepphase
O75170	deepphase
Q9NZ71	deepphase
Q9NZR2	deepphase
P09497	deepphase
Q99496	deepphase
Q8IY18	deepphase
Q8IUX7	deepphase
Q6XZF7	deepphase
O60934	deepphase
P10619	deepphase
P40426	deepphase
O43768	deepphase
Q14135	deepphase
Q8IZP0	deepphase
Q86TH1	deepphase
P46087	deepphase
Q16533	deepphase
P11940	deepphase
Q9H0K6	deepphase
Q66K14	deepphase
P37108	deepphase
P30039	deepphase
Q5TDP6	deepphase
Q8N6D5	deepphase
Q6PUV4	deepphase
O14782	deepphase
Q07157	deepphase
Q86YN1	deepphase
Q9NQ29	deepphase
P17032	deepphase
O43897	deepphase
Q6UXU6	deepphase
O75626	deepphase
Q9BZE4	deepphase
O14976	deepphase
Q14554	deepphase
O14672	deepphase
Q9NZI6	deepphase
P98182	deepphase
Q9H9B4	deepphase
Q9UIV1	deepphase
Q15181	deepphase
Q96ES7	deepphase
P78330	deepphase
O95352	deepphase
Q8N859	deepphase
Q8N8R7	deepphase
Q8TDY4	deepphase
Q96S65	deepphase
Q13277	deepphase
