Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
31,38,0.3011,211.6,832.0,0.1890,0.999781,"Q9BW85 P62306 Q9Y5U2 O60508 O94906 O75643 P62318 P62316 P62304 Q9HCS7 Q9BZJ0 O60306 Q9BRX9 Q13573 Q8WUD4 Q9UNP9 Q9ULR0 O95926 Q9BRR8 Q96AT1 P62308 Q56P03 Q9Y312 O95905 Q15029 P63162 P09661 O43660 Q9UMS4 Q12874 Q96DI7 Q9UBB6 Q9H5Z1 Q9UHR6 O95400 Q6P3X3 Q8IYT2 Q8N8D1"
32,28,0.3525,133.3,317.8,0.2628,0.725120,"Q969G3 Q92785 Q9UHA2 Q8TAQ2 Q68CP9 O14497 Q86U86 Q9NPI1 O94805 Q8WUZ0 Q12824 Q8NFD5 Q6STE5 Q92925 O75177 Q92922 P51532 Q9NZM4 P51531 Q92784 Q9H8M2 Q4VC05 Q9BQE9 Q01201 Q92782 O96019 Q15532 Q9BXU2"
33,17,0.3092,42.05,701.9,0.05406,0.999996,"Q9H2C0 P05787 P14136 P41219 Q16352 P07197 P07196 P48681 P17661 Q9HBD1 O15061 P19012 P08779 P08670 P02533 Q9H7C4 P08729"
34,4,0.3408,2.045,40.19,0.04070,0.843839,"Q9UHR5 O15294 P78330 Q9NWW0"
35,33,0.3015,159.2,823.6,0.1518,0.985377,"P50991 Q92636 Q9HCS5 A7E2Y1 P32119 P78371 O00743 Q9BUR4 P62714 P50990 Q99832 Q92526 P40227 P17987 P48643 P49368 O14530 P57775 O00628 O43815 P60510 P78318 Q8TDG2 Q9BPW8 Q6PCD5 Q96J01 Q9H2J4 Q9BQ87 Q9Y3L5 Q8N0Y7 Q8IYD2 Q5XUX1 Q9GZS0"
36,121,0.1824,1325,2041,0.3672,5.65915e-05,"O14817 P28799 Q9H2X0 Q92824 Q9UKJ5 Q9NUL5 Q8WWZ8 Q8IWZ5 P05187 O43609 Q6EMK4 O43610 Q9UHI7 Q9BYR3 Q5T752 Q14995 Q5T753 Q5TA79 P59990 Q9BYQ0 P60410 Q6L8H2 Q9BYR2 Q5T749 Q6L8G4 Q9BYQ3 P60328 Q6L8G9 Q701N4 Q9BYQ6 P60329 Q9BQ66 P60411 Q9BYQ4 P60370 P60412 Q9BYR5 P26371 P60409 Q8IUG1 A0A087WUL8 Q9BTY2 Q7Z417 Q5T7P2 Q5TA78 Q2TAL6 Q5T7P3 P60331 Q9BYP8 Q07627 Q9BYS1 Q6L8G8 Q6UY14 O76081 P49795 Q8IUC1 Q5TA81 Q5TA82 Q9BYQ7 P0C7H8 Q9BYR7 Q9BYR9 Q92570 Q7Z6R9 O43184 O14633 P49901 Q5T751 Q9BYR6 Q9UGC6 Q8NEC5 Q5TCM9 Q5TA77 P60014 Q5T754 Q92504 O43597 Q9NRY7 Q02930 Q9UGL9 P25490 P32242 Q12837 Q9Y223 Q9BYE3 Q6ZNH5 Q5TA76 Q5T5B0 O76003 Q9NWN3 Q5T871 Q6L8H4 Q5T5A8 Q5HYJ3 Q86YT5 Q96LJ7 Q9Y2K5 Q3LHN2 Q969G9 Q8NHX4 Q05952 Q8IYI8 A8MV65 Q8WV24 Q7RTU3 A0JP26 O60269 Q8WTU2 Q9NQX5 P06850 P82987 Q96N58 O95992 Q6UXX9 P60372 Q8TC90 Q8WTR7 P08686 P49771 Q6ZMJ4 Q9H3U7"
37,10,0.3224,14.51,134.9,0.08564,0.992990,"Q9H4L4 P0C5Y9 Q9NXF1 Q9Y4W2 Q5SY16 Q96BT1 Q9BV38 Q8NCU7 Q8IZL8 Q9NRA0"
38,7,0.3137,6.589,250.1,0.02434,0.996355,"P29034 Q0VG06 Q14156 Q9NYD6 Q03052 Q96PV7 O75474"
39,6,0.3012,4.517,251.2,0.01687,0.998474,"O95816 Q14249 Q96EV2 Q9NXV2 Q9Y6N1 Q14814"
40,8,0.3397,9.512,84.17,0.08673,0.973985,"Q9ULG6 Q9GZX3 Q9UBS3 P42263 Q9GZS9 Q1HG44 Q9NZM6 Q9H112"
41,5,0.3175,3.175,126.6,0.02271,0.582734,"Q8TBB1 Q96M61 O60682 Q969R2 Q6P3S1"
42,7,0.3067,6.440,265.6,0.02251,0.920068,"Q9H313 Q12770 P37287 Q86UL3 P52429 O15120 O95256"
