Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
RICTOR,Q6R327,Q96H79,35973513,ZC3HAV1L,0.5759484767913811,0.635524630546569,0.045710209757089004,0.037526965141296005,0.19521062076091766
RICTOR,Q6R327,P55010,35973513,EIF5,0.5759484767913811,0.635524630546569,0.887031078338623,0.8727254867553711,0.27137404680252075
RICTOR,Q6R327,Q12768,35973513,WASHC5,0.5759484767913811,0.635524630546569,0.051752220839262,0.038203574717044005,0.39134836196899414
RICTOR,Q6R327,P53618,35973513,COPB1,0.5759484767913811,0.635524630546569,0.11874425411224301,0.21107089519500702,0.45142823457717896
RICTOR,Q6R327,Q15050,35973513,RRS1,0.5759484767913811,0.635524630546569,0.09619669616222301,0.566064715385437,0.4848092496395111
RICTOR,Q6R327,Q6Y7W6,35973513,GIGYF2,0.5759484767913811,0.635524630546569,0.935945630073547,0.938090026378631,0.5740879774093628
RICTOR,Q6R327,Q8IX01,35973513,SUGP2,0.5759484767913811,0.635524630546569,0.78794264793396,0.6586810946464531,0.402125746011734
RICTOR,Q6R327,Q5C9Z4,35973513,NOM1,0.5759484767913811,0.635524630546569,0.065857149660587,0.417567551136016,0.5362938642501831
RICTOR,Q6R327,Q96BY7,35973513,ATG2B,0.5759484767913811,0.635524630546569,0.047881990671157004,0.402205765247344,0.6187835335731506
RICTOR,Q6R327,P26640,35973513,VARS1,0.5759484767913811,0.635524630546569,0.05250792950391701,0.220067650079727,0.47376957535743713
RICTOR,Q6R327,O75152,35973513,ZC3H11A,0.5759484767913811,0.635524630546569,0.8109792470932,0.89901053905487,0.4817168712615967
RICTOR,Q6R327,P39880,35973513,CUX1,0.5759484767913811,0.635524630546569,0.892965972423553,0.674382090568542,0.543316662311554
RICTOR,Q6R327,Q58FF7,35973513,HSP90AB3P,0.5759484767913811,0.635524630546569,0.11293286085128701,0.578498899936676,0.48030367493629456
RICTOR,Q6R327,Q9H0L4,35973513,CSTF2T,0.5759484767913811,0.635524630546569,0.944329440593719,0.8998327255249021,0.38375169038772583
RICTOR,Q6R327,P12956,35973513,XRCC6,0.5759484767913811,0.635524630546569,0.8818343281745911,0.9424995183944701,0.4084547162055969
RICTOR,Q6R327,P35579,35973513,MYH9,0.5759484767913811,0.635524630546569,0.749034285545349,0.8638456463813781,0.6077231168746948
RICTOR,Q6R327,Q04637,35973513,EIF4G1,0.5759484767913811,0.635524630546569,0.926787078380584,0.8733658790588371,0.4957183003425598
RICTOR,Q6R327,O95373,35973513,IPO7,0.5759484767913811,0.635524630546569,0.052493594586849004,0.07876561582088401,0.5255029797554016
RICTOR,Q6R327,P08758,35973513,ANXA5,0.5759484767913811,0.635524630546569,0.5479384064674371,0.8028623461723321,0.22013509273529053
RICTOR,Q6R327,P06748,35973513,NPM1,0.5759484767913811,0.635524630546569,0.927858054637908,0.9404169321060181,0.5333450436592102
