"Bait GeneID"	"Bait Symbol"	"Prey GeneID"	"Prey Symbol"
"23212"	"RRS1"	"122704"	"MRPL52"
"8460"	"TPST1"	"3309"	"HSPA5"
"3309"	"HSPA5"	"8460"	"TPST1"
"7389"	"UROD"	"728378"	"POTEF"
"22846"	"VASH1"	"3312"	"HSPA8"
"10969"	"EBNA1BP2"	"55646"	"LYAR"
"55646"	"LYAR"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6124"	"RPL4"
"6124"	"RPL4"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6135"	"RPL11"
"6135"	"RPL11"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6175"	"RPLP0"
"6175"	"RPLP0"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6122"	"RPL3"
"6122"	"RPL3"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"3024"	"HIST1H1A"
"3024"	"HIST1H1A"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"3008"	"HIST1H1E"
"3008"	"HIST1H1E"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"10514"	"MYBBP1A"
"10514"	"MYBBP1A"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6154"	"RPL26"
"6154"	"RPL26"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6141"	"RPL18"
"6141"	"RPL18"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"26156"	"RSL1D1"
"26156"	"RSL1D1"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"4869"	"NPM1"
"4869"	"NPM1"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6132"	"RPL8"
"6132"	"RPL8"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"9188"	"DDX21"
"9188"	"DDX21"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6202"	"RPS8"
"6202"	"RPS8"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"4839"	"NOP2"
"4839"	"NOP2"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6139"	"RPL17"
"6139"	"RPL17"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"55299"	"BRIX1"
"10969"	"EBNA1BP2"	"6138"	"RPL15"
"6138"	"RPL15"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"55131"	"RBM28"
"55131"	"RBM28"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6158"	"RPL28"
"6158"	"RPL28"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6203"	"RPS9"
"6203"	"RPS9"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6142"	"RPL18A"
"6142"	"RPL18A"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"7169"	"TPM2"
"10969"	"EBNA1BP2"	"6130"	"RPL7A"
"6130"	"RPL7A"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6137"	"RPL13"
"6137"	"RPL13"	"10969"	"EBNA1BP2"
"10969"	"EBNA1BP2"	"6430"	"SRSF5"
